date,signal,option,strike,entry_logged,entry_actual,exit_logged,exit_actual,result,pnl_logged,pnl_actual,notes
2026-04-27,BUY,NIFTY26APR23900CE,23900,223.30,224.50,198.30,193.95,SL_HIT,-1774.50,-1985.75,Old strike logic - only 146 pts ITM - breakeven missed
2026-04-28,SELL,NIFTY26APR24350PE,24350,249.10,251.65,329.10,329.10,TARGET_HIT,5258.50,5034.25,New strike logic - 238 pts ITM - breakeven triggered at 11:28
2026-04-30,SELL,NIFTY2650524100PE,24100,309.00,307.65,389.15,388.00,TARGET_HIT,5209.75,5222.75,Historical-only scan - breakeven at 10:09 - target at 10:56
2026-05-04,BUY,NIFTY2650524100CE,24100,245.65,246.33,219.65,221.30,SL_HIT,-6760.00,-6507.80,First 4-lot trade - SL hit in 14 min - no breakeven trigger
2026-05-05,SELL,NIFTY2650524250PE,24250,253.25,253.15,333.40,333.01,TARGET_HIT,20969.00,20763.60,Same-day expiry - deeper ITM for premium - breakeven at 10:28 - target at 10:56
2026-05-06,BUY,NIFTY2651223950CE,23950,350.65,350.53,430.65,428.80,TARGET_HIT,20982.00,20350.20,Late signal 14:15 - breakeven in 6 min - target in 7 min - fastest trade
2026-05-07,BUY,NIFTY2651224200CE,24200,286.20,286.30,261.20,260.10,SL_HIT,-6812.00,-6812.00,Thin crossover +0.02 pts - choppy market - whipsaw signals
2026-05-08,SELL,NIFTY2651224350PE,24350,270.00,270.85,245.00,244.10,SL_HIT,-6591.00,-6955.00,Quick SL hit in 12 min - no breakeven trigger
2026-05-11,SELL,NIFTY2651224050PE,24050,223.85,223.16,198.85,198.33,SL_HIT,-6838.00,-6455.80,70 min trade - 3rd consecutive loss
2026-05-12,SELL,NIFTY2651223900PE,23900,265.40,266.36,240.40,238.10,SL_HIT,-6942.00,-7347.60,Same-day expiry - 4th consecutive loss - higher slippage
2026-05-13,BUY,NIFTY2651923250CE,23250,354.20,355.23,354.20,353.86,BREAKEVEN,-91.00,-356.20,Breakeven triggered at 10:34 - saved ~₹6500 loss - streak broken
2026-05-14,BUY,NIFTY2651923400CE,23400,305.40,304.98,385.40,384.02,TARGET_HIT,20813.00,20550.40,Delta mode 167 ITM - breakeven at 11:41 - target in 15 min
2026-05-15,BUY,NIFTY2651923600CE,23600,289.35,287.15,260.40,260.65,SL_HIT,-7527.00,-6890.00,First candle signal - SL hit in 5 min - no breakeven trigger
2026-05-18,SELL,NIFTY2651923550PE,23550,251.90,251.90,226.50,227.20,SL_HIT,-8255.00,-8027.50,5 lots - deeper ITM for premium - SL hit in 27 min
2026-05-19,BUY,NIFTY2651923500CE,23500,257.20,258.10,230.45,231.11,SL_HIT,-8693.75,-8771.75,Same-day expiry - SL hit in 5 min - 5 lots
2026-05-21,BUY,NIFTY26MAY23650CE,23650,267.90,268.20,241.75,240.85,SL_HIT,-8498.75,-8888.75,Monthly expiry - SL hit in 5 min - 4th consecutive loss at 5 lots
2026-05-22,BUY,NIFTY26MAY23600CE,23600,267.65,268.28,242.55,242.57,SL_HIT,-8157.50,-8355.75,Monthly expiry - SL hit in 6 min - 5th consecutive loss at 5 lots
2026-05-25,BUY,NIFTY26MAY23750CE,23750,260.40,261.40,235.30,234.02,SL_HIT,-8157.50,-8898.50,Monthly expiry - 2hr trade - 6th consecutive loss at 5 lots
2026-05-26,SELL,NIFTY26MAY24300PE,24300,268.40,269.13,348.85,347.09,TARGET_HIT,26146.25,25337.00,Same-day monthly expiry - breakeven at 12:50 - target at 13:44 - streak broken!
2026-05-27,SELL,NIFTY2660224050PE,24050,251.05,250.50,225.75,225.70,SL_HIT,-8222.50,-8060.00,Weekly expiry Jun 2 - SL hit in 8 min
2026-05-29,BUY,NIFTY2660223750CE,23750,298.60,299.32,273.50,273.00,SL_HIT,-8157.50,-8554.00,Weekly expiry Jun 2 - SL hit in 14 min
2026-06-01,BUY,NIFTY2660223450CE,23450,227.25,227.23,201.15,200.07,SL_HIT,-8482.50,-8827.00,Weekly expiry Jun 2 - SL hit in 12 min
2026-06-02,SELL,NIFTY2660223550PE,23550,263.55,264.28,237.60,238.15,SL_HIT,-8433.75,-8492.25,Same-day expiry - SL hit in 33 min - 4th consecutive loss
2026-06-03,SELL,NIFTY2660923450PE,23450,286.00,287.00,336.00,334.80,TRAILING_SL,6500.00,6214.00,v2.0 first trade - trailing exit at +50 locked - ran 2.5 hrs - streak broken!
2026-06-04,SELL,NIFTY2660923500PE,23500,254.00,254.70,229.00,227.90,SL_HIT,-3250.00,-3484.00,Late signal 13:15 - SL hit in 8 min - no trail triggered
2026-06-04,BUY,NIFTY2660923250CE,23250,278.95,279.70,253.95,299.30,MANUAL_CLOSE,0.00,2548.00,Force close bug - had to close manually at 15:15 - would have been +19.60 pts
2026-06-05,BUY,NIFTY2660923300CE,23300,291.30,292.15,266.30,265.50,SL_HIT,-3250.00,-3464.50,SL hit in 22 min - no trail triggered
2026-06-05,SELL,NIFTY2660923600PE,23600,220.00,219.80,269.80,269.40,TRAILING_SL,6474.00,6448.00,Trailing exit at +50 locked - recovered from T1 loss - net day +2983.50
2026-06-08,SELL,NIFTY2660923400PE,23400,254.60,254.85,229.85,221.37,SL_HIT,-4875.00,-6529.25,First 3-lot trade - late signal 13:50 - SL slippage -33 pts vs -25 expected
2026-06-09,BUY,NIFTY2660922950CE,22950,254.55,254.35,229.35,228.20,SL_HIT,-4875.00,-5099.25,Expiry day - direction right but stopped out - market +59 after exit
2026-06-10,BUY,NIFTY2661623150CE,23150,316.45,316.45,291.45,291.45,SL_HIT,-1742.00,-1742.00,PAPER - choppy day - SL in 40 min
2026-06-10,SELL,NIFTY2661623500PE,23500,273.30,273.30,248.30,248.30,SL_HIT,-1690.00,-1690.00,PAPER - choppy day - SL in 29 min
2026-06-12,BUY,NIFTY2661623250CE,23250,248.05,248.05,423.05,423.05,TRAILING_SL,11355.50,11355.50,PAPER - THE RUNNER! +175 pts - trailed from +50 to +175 - system validated
